Autor	Partia	Data	Temat (krótki opis)	Treść
Tadeusz Cymański	PiS	30 lipca 2009	O zarzutach Roberta Biedronia i homoseksualiźmie	co to w ogół znaczyć rozprawić nigdy nie mieć być taki cel wśród homoseksualista być także mądry bardzo utalentowany i pracowity człowiek nie można im to odbierać jeżeli zaś chodzić o PiS to udać my się pozostawić te sprawa w sfera prywatny intymny każdy partia mój prawo mieć w swoje szereg taki człowiek właściwie to być pan Biedroniowi wdzięczny za te słowo bo skoro twierdzić że w wysoki władza PiS być homoseksualista to dopiero być by piękny dowód nasz tolerancja taca człowiek móc realizować się na każdy płaszczyzna a u my także politycznie
Ryszard Petru	Nowoczesna	9 września 2015	O uchodźcach i ich przyjmowaniu	nasi obowiązek być przyjmować uchodźca to nie tylko kwestia to że wielokrotnie być być w podobny sytuacja ale także wartość który wyznawać nie móc pozostawić sam siebie człowiek który przez wojna i prześladowanie musza uciekać z dom
Borys Budka	PO	28 maja 2020	O Sasinie, porównanie do socjalistów	i jeszcze być chcieć tworzyć jakiś narodowy sieć sklep spożywczy i to być Sasin robić być duży socjalista niż Marks Engels wszyscy razem wzięty Pan premier pan pomylić epoka naprawdę nie nadawać się do zarządzanie polski gospodarka nie nadawać się do nic Pan broń Sasina 70 bańka wyrzucić w błoto 30 miliard mało być wart aktywa spółka skarb państwo po 6 miesiąc nadzór przez pan Sasina Pan nie mój wstyd bronić to człowiek
Borys Budka	PO	10 luty 2017	O czarnym proteście	być tutaj ponieważ totalny państwo PiS próbować karać za to że ktoś przyjść na czarno ubrany do praca zaraz rozpocząć się coś co mój znamię proces Kafka – absurdalny zarzut sformułować tylko dlatego że nauczycielka przyszły na czarno ubrany do praca co dużo – nie manifestować swoje pogląd nie mówić o czarna protest zrobić jedynie zdjęcie który umieścić na portal społecznościowy
Grzegorz Schetyna	PO	18 kwietnia 2011	O prezydenturze Lecha Kaczyńskiego i wpływie katastrofy smoleńskiej na jego postrzegnie	dziś na prezydentura Lech Kaczyński patrzeć przez pryzmat katastrofa smoleński a nie on dokonanie jako prezydent moi zdanie Lech Kaczyński nie zasługiwać na pomnik to była zło prezydentura tak też oceniać on w większość Polak przed 10 kwiecień
Antoni Macierewicz	PiS	20 kwietnia 2012	O katastrofie smoleńskiej jako wypowiedzeniu wojny przez Rosję	coże inny być sytuacja w który gin cały elita w który odcięta zostawać głowa naród to być wypowiedzenie wojna nawet jeżeli kolejny atak być odłożyć o rok dwa piąć to trzeba siebie zdawać sprawa – to być wypowiedzenie wojna
Antoni Macierewicz	PiS	14 października 2017	O spisku przeciwko Polsce	kto kontrolować Polska ten decydować o Europa co do to nie mój wątpliwość my być jedyna naród który skutecznie a przynajmniej tak_zwany elita wmówić że Polska nic nie znaczyć że Polak być najbardziej niemądry i nieskuteczny i marnotrawny naród świat wypracowywać w my poczucie bezwartościowość robić to człowiek który mieć świadomość jak potencjał tkwieć w Polak ostatnie dwa lato pokazać co się dzieje jeżeli na czoło państwo stać człowiek który niewątpliwie zmierzać do to aby odbudować siła państwo polski
Marek Jakubiak	Kukiz'15	1 luty 2018	O sowietach i Żydach	w 1939 rok 17 wrzesień napaść na my odwieczny wróg wschodni sowiecki Rosja Żyd witać on kwiat pytać się gdzie były Żyd wtedy kiedy 500 tysiąc Polak w ciąg rok czas wymordować na on oko a 2 milion Polak wsadzić do wagon śmierć wywieźć na Syberia pytać się czy być choć jeden Polak uratować przez Żyd w ten sytuacja
Marek Jakubiak	Kukiz'15	8 lutego 2018	O Polakach jako narodowcach	narodowiec być ten kto płacić tu podatek wychowywać dziecko w kultura polski w chrześcijański warunek większość Polak to narodowiec tylko o tym nie wiedza
Kamila Gasiuk-Pichowicz	PO	23 grudnia 2019	O Andrzeju Dudzie	to być wstyd że ktoś taki jak Andrzej Duda być prezydent Polska taki słowo nigdy nie powinny paść z usta polski prezydent i te słowo pan Andrzej Duda mówić wprost świadczyć o nim świadczyć jak nisko upaść jako polityk Andrzej Duda
Jarosław Kaczyński	PiS	28 stycznia 2021	O Danielu Obajtku	Daniel Obajtek być Nadzieja nie nasze obóz polityczny nie jakiś grupa partykularny tylko po prosty Polska wszyscy Polak który chcieć po prosty dobra nasze naród … nie chcieć tutaj używać określenie „ gwiazda ” bo to może w tym kontekst nie dobry określenie ale naprawdę człowiek niezwykły … mój ogromny możliwości mój niezwykły determinacja i coś taki co dawać pan bóg a co trudno zdefiniować aura który pozwalać on człowiek mobilizować jednoczyć wokół jakiś cel
